Gene,Ant_VF1,Ant_VF2,Ant_VF3,Ant_Vm1,Ant_Vm2,Ant_Vm3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046589.1,2.305048478,15.7253833,6.926162172,39.78352514,26.92522059,0,nan,15.19398877,1.429775842,1.813520105,0.78839812,0.43046387,0.731556672
XM_038046590.1,2.305048478,15.7253833,6.926162172,39.78352514,26.92522059,0,nan,15.19398877,1.429775842,1.813520105,0.78839812,0.43046387,0.731556672
XM_038046591.1,5.762621194,0,3.957806955,10.46934872,0,0,nan,3.293190789,0.009689895,3.715923336,0.002607668,0.997919384,NA
XM_038046592.1,461.0096955,506.3573423,457.1267033,364.3333355,488.962006,322.6346397,nan,429.0933476,-0.262685049,0.306104938,-0.85815358,0.390807665,0.707929416
XM_038046593.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046594.1,0,0,0,14.65708821,0,0,nan,2.478061295,4.772275774,3.924554362,1.216004503,0.223983207,NA
XM_038046595.1,3262.79612,2074.702237,2260.897223,1614.373573,2926.232974,2792.156729,nan,2465.808441,-0.036053993,0.294742936,-0.122323519,0.902642806,0.973131398
XM_038046596.1,704.1923099,525.2278022,586.7448811,362.2394657,591.2778442,288.7306606,nan,504.3162127,-0.534718808,0.361620686,-1.478673175,0.139227685,0.42867897
XM_038046597.1,0,1.048358887,0,6.281609232,0,5.468383723,nan,1.990779649,3.369919586,3.930890333,0.857291682,0.391283704,NA
XM_038046598.1,0,1.048358887,0,6.281609232,0,5.468383723,nan,1.990779649,3.369919586,3.930890333,0.857291682,0.391283704,NA
XM_038046599.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046600.1,1326.555399,1025.294991,1111.154303,1384.047901,1013.465303,1550.833624,nan,1224.388319,0.204039481,0.254914451,0.800423358,0.423465552,0.727028235
XM_038046601.1,1368.046272,882.7181826,856.8652058,2793.222239,914.3804913,475.7493839,nan,1202.844838,0.439333989,0.529592291,0.829570211,0.406781825,0.716471136
XM_038046602.1,5.762621194,2.096717773,2.968355216,2.093869744,0,4.374706978,nan,2.80442462,-0.855749634,2.69427804,-0.317617418,0.75077516,NA
XM_038046603.1,1368.046272,882.7181826,856.8652058,2793.222239,914.3804913,475.7493839,nan,1202.844838,0.439333989,0.529592291,0.829570211,0.406781825,0.716471136
XM_038046604.1,1368.046272,882.7181826,856.8652058,2793.222239,914.3804913,475.7493839,nan,1202.844838,0.439333989,0.529592291,0.829570211,0.406781825,0.716471136
XM_038046605.1,1362.28365,878.524747,854.8863023,2789.034499,914.3804913,475.7493839,nan,1200.21294,0.443536803,0.529323308,0.837931744,0.402069039,0.714101012
XM_038046606.1,88.74436639,62.9015332,69.26162172,217.7624534,100.1618206,14.21779768,nan,91.22404115,0.597027146,0.898047761,0.664805561,0.506174865,0.781756239
XM_038046607.1,161.3533934,300.8790005,232.5211586,299.4233734,155.0892706,73.27634189,nan,201.5245323,-0.388908668,0.592736075,-0.656124511,0.511744015,0.785532113
XM_038046608.1,129.0827148,205.4783418,176.1224095,211.4808442,82.92967943,61.2458977,nan,142.6312432,-0.51191215,0.617970193,-0.828376765,0.407457161,0.716944391
XM_038046609.1,174.0311601,53.46630322,105.8713361,152.8524913,124.9330236,209.985935,nan,135.7237277,0.56773092,0.599970435,0.946264827,0.344013529,0.672551522
XM_038046610.1,174.0311601,53.46630322,105.8713361,152.8524913,124.9330236,209.985935,nan,135.7237277,0.56773092,0.599970435,0.946264827,0.344013529,0.672551522
XM_038046611.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046612.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046613.1,254.7078568,296.6855649,196.900896,1011.339086,173.3984206,39.37236281,PPK38,325.2867756,0.715938079,0.845961018,0.8463015,0.397384571,0.710952765
XM_038046614.1,41850.46016,35521.54416,41972.54276,31906.38716,33329.11506,29138.82951,nan,35267.45122,-0.324783959,0.149503565,-2.172416149,0.029824288,0.166101234
XM_038046615.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046616.1,682.2943494,610.1448721,681.732248,460.6513437,752.8291678,605.8969165,nan,626.4452288,-0.102748574,0.289106138,-0.355400874,0.722289294,0.90086517
XM_038046617.1,5064.191506,3531.921089,4127.003202,4608.607307,4861.61783,5783.362626,nan,4622.633512,0.276828856,0.205815986,1.345030872,0.178615265,0.494010504
XM_038046618.1,5064.191506,3531.921089,4127.003202,4608.607307,4861.61783,5783.362626,nan,4622.633512,0.276828856,0.205815986,1.345030872,0.178615265,0.494010504
XM_038046619.1,5064.191506,3531.921089,4127.003202,4608.607307,4861.61783,5783.362626,nan,4622.633512,0.276828856,0.205815986,1.345030872,0.178615265,0.494010504
