Gene,Ant_MF1,Ant_MF2,Ant_MF3,Ant_VF1,Ant_VF2,Ant_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046602.1,4.502990828,7.038407714,2.478786296,5.762621194,2.096717773,2.968355216,nan,4.146511045,-0.327524585,1.376123615,-0.238005207,0.811877056,0.970058139
XM_038046603.1,864.574239,1449.911989,1371.595084,1368.046272,882.7181826,856.8652058,nan,1128.911218,-0.231588059,0.243902316,-0.949511517,0.342360517,0.83963525
XM_038046604.1,864.574239,1449.911989,1371.595084,1368.046272,882.7181826,856.8652058,nan,1128.911218,-0.231588059,0.243902316,-0.949511517,0.342360517,0.83963525
XM_038046605.1,864.574239,1449.911989,1371.595084,1362.28365,878.524747,854.8863023,nan,1126.906562,-0.237168761,0.243786617,-0.9728539,0.330625919,0.835323994
XM_038046606.1,130.586734,75.07634895,151.2059641,88.74436639,62.9015332,69.26162172,nan,95.85316905,-0.674972695,0.376729154,-1.791665677,0.073186536,0.468401552
XM_038046607.1,263.8752625,360.1318614,217.306932,161.3533934,300.8790005,232.5211586,nan,254.710775,-0.25962665,0.295217727,-0.879441262,0.379162068,0.854675795
XM_038046608.1,201.7339891,269.805629,175.1675649,129.0827148,205.4783418,176.1224095,nan,191.8724253,-0.32758296,0.28721169,-1.140562765,0.25405192,0.773983454
XM_038046609.1,128.7855377,156.0180377,114.0241696,174.0311601,53.46630322,105.8713361,nan,121.5393821,-0.241934345,0.4145101,-0.58366333,0.559446843,0.928302962
XM_038046610.1,128.7855377,156.0180377,114.0241696,174.0311601,53.46630322,105.8713361,nan,121.5393821,-0.241934345,0.4145101,-0.58366333,0.559446843,0.928302962
XM_038046611.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046612.1,0.900598166,0,0,0,0,0,nan,0.163028617,-0.945339403,4.080472857,-0.231673984,0.81679124,NA
XM_038046613.1,329.6189286,269.805629,356.9452267,254.7078568,296.6855649,196.900896,PPK38,282.9922838,-0.337734518,0.240670249,-1.403308131,0.160524975,0.661261456
